"PO031715_24"	"GEO012315_21"	"NA021015_30"	"YS121316_30"	"JUK07_37.1"	"JB021108_07.1"	"JB021108_48.1"	"BOR07_22"	"GEO020414_9_300"
"X10000"	-0.0943	-0.2126	-0.3043	0.1845	-0.1168	0.2771	-0.1628	-0.0256	-0.1515
"X10009"	NA	NA	NA	NA	-0.027	NA	NA	NA	NA
"X10017"	0.2077	0.1616	0.2105	-0.1	-0.0625	-0.102	-0.1163	0	-0.1515
"X10019"	-0.0175	-0.1034	-0.1111	-0.0476	-0.0244	-0.0714	-0.0435	-0.0256	0.25
"X10023"	NA	NA	NA	NA	-0.0526	NA	NA	NA	NA
"X10024"	-0.3426	-0.4019	-0.2195	-0.0732	0.0212	-0.12	-0.0833	0.322	0.1346
"X10025"	-0.1317	0.0944	-0.5	0.0217	-0.1515	0.0656	-0.1852	0.0732	-0.0769
"X10029"	0	-0.0323	0	0	NA	NA	-0.027	0	-0.0286
"X10031"	-0.0357	0	NA	0	0.6545	NA	0	0	-0.0256
"X10037"	0	0	NA	NA	0.1732	-0.0164	0	NA	0
"X1004"	-0.2083	-0.2772	-0.05	-0.1892	0.0909	-0.1163	-0.1163	-0.1667	0.0455
"X10041"	0	-0.0667	-0.0345	-0.0233	0	0	0	-0.0256	-0.0286
"X10046"	-0.0741	-0.0667	-0.25	0	0.1509	0.2077	-0.1429	-0.0769	-0.1176
"X10049"	-0.0182	-0.0357	1	0	0.3333	1	0	NA	-0.027
"X1005"	NA	NA	NA	NA	0.4648	NA	NA	0	NA
"X10053"	0.0392	-0.3132	-0.05	-0.2353	0.2857	-0.1538	0.2038	0.2364	-0.0253
"X10059"	0	0	0	-0.0476	0	-0.0164	NA	0	0
"X1006"	-0.0741	-0.0877	0	NA	NA	-0.0169	-0.0222	0	0
"X10060"	NA	NA	NA	NA	-0.027	NA	-0.0204	0	NA
"X10061"	0.1512	0.1146	-0.3043	0	-0.2	-0.0741	-0.1163	0.1064	-0.0843
"X10073"	0	-0.0526	NA	NA	NA	NA	NA	NA	0
"X10076"	-0.1768	-0.0756	-0.0714	-0.2571	0.0909	-0.0543	-0.1089	-0.2353	0.1064
"X10077"	NA	0	-0.0714	0	NA	-0.0164	-0.0204	NA	NA
"X10084"	0.4775	-0.1228	0	-0.1282	-0.0256	0.3588	NA	-0.1053	-0.0256
"X10091"	-0.0566	-0.1429	-0.0345	NA	-0.0556	-0.0189	-0.1707	0.1667	-0.0811
"X10095"	-0.0545	0	-0.0714	0	NA	0	0	NA	0
"X10098"	-0.2874	0.0376	0.0625	0	-0.1765	0.3348	0.0204	0.1742	-0.1484
"X10105"	0	-0.0345	0	NA	NA	0	0	0	-0.0857
"X10108"	0	NA	-0.0345	0	NA	NA	NA	-0.0857	NA
"X1011"	0	-0.1429	0	-0.0233	NA	1	0.6575	0	0
"X10112"	-0.0357	0	0	0	0	-0.0508	-0.1111	0	0
"X10117"	-0.0741	-0.0323	-0.0345	NA	0.1414	-0.087	-0.0435	NA	NA
"X10119"	-0.1837	-0.1636	-0.1538	-0.1579	-0.1351	-0.1321	-0.0638	-0.05	0.8361
"X1012"	NA	-0.0492	0	NA	NA	0	0.6575	-0.0244	NA
"X10122"	0	NA	0	NA	NA	-0.0333	NA	NA	-0.0556
"X10124"	-0.1915	-0.0877	-0.0345	NA	NA	0	0.3372	NA	-0.0625
"X10125"	0.1018	-0.069	-0.2	-0.3103	0.3066	-0.0556	0	-0.2667	0
"X10127"	0.1139	-0.1364	-0.3525	-0.2174	-0.0329	-0.0204	-0.3761	-0.2242	0.1667
"X10129"	-0.1837	-0.3617	-0.0714	-0.1351	-0.1429	0.04	-0.0678	0.0455	-0.4074
"X10133"	-0.0182	NA	1	NA	-0.0286	NA	NA	0.3437	NA
"X10138"	NA	NA	NA	0	0.4648	NA	0	0	NA
"X10146"	-0.3245	0.0376	-0.0976	-0.2174	-0.0628	0.0323	0.2686	-0.1215	-0.2706
"X10147"	NA	0	NA	-0.0811	0.6552	NA	NA	-0.1111	NA
"X10148"	-0.0943	-0.1228	-0.0345	-0.0732	-0.1111	0.3644	-0.0213	-0.0244	-0.0811
"X1015"	-0.1373	-0.1273	0.2105	0.1127	-0.0843	-0.1765	-0.0667	-0.2258	-0.0244
"X10152"	-0.2083	-0.2772	-0.1345	0.1506	-0.1111	-0.1272	0.0421	-0.2621	-0.2242
"X10153"	0	-0.0159	-0.0714	NA	-0.0556	NA	0	NA	NA
"X10155"	-0.1179	-0.1847	0.0323	0.0411	0.322	0.069	0.4366	-0.2294	-0.1215
"X10158"	-0.098	0.1948	-0.0345	-0.2222	0.1064	0.1468	-0.0952	-0.1515	0.322
"X10161"	NA	NA	NA	-0.0811	-0.0244	NA	NA	-0.0811	NA
"X10163"	-0.1387	-0.4545	-0.5	0.0212	0.0521	-0.098	-0.1541	0.1127	-0.3333
"X10165"	-0.0633	-0.0022	-0.4286	0.122	-0.0471	0.24	-0.3435	0.0732	-0.1515
"X10169"	-0.0943	0.0725	-0.0714	0	-0.0244	-0.0385	0.1935	-0.0526	0.6552
"X10170"	0	NA	NA	0.6145	-0.0286	NA	NA	NA	NA
"X10172"	-0.0357	-0.0667	-0.0714	0	NA	-0.037	-0.0222	0.4667	0
"X10174"	-0.0501	-0.0934	0.0323	0.1141	-0.0769	-0.0254	-0.1993	-0.1351	0.1667
"X10175"	0.5272	-0.0877	-0.0345	-0.05	NA	-0.0526	-0.0345	-0.0556	-0.0256
"X10177"	-0.3775	-0.1736	0.1589	0.1316	-0.3125	-0.1163	0	0.1742	0.0406
"X10189"	NA	NA	NA	NA	-0.0256	NA	0	NA	0
"X1019"	0	NA	-0.0345	0	-0.0769	NA	0	NA	-0.0244
"X10196"	-0.0741	-0.0667	-0.25	-0.2	0.1742	-0.125	-0.0769	0.24	-0.2353
"X102"	0.0667	-0.3023	-0.05	-0.2941	-0.0769	-0.1002	0.0582	-0.2242	-0.2611
"X10200"	0.0569	-0.2308	-0.2162	-0.1892	-0.0244	-0.0169	0.1525	-0.0678	0.2772
"X10203"	-0.0247	0.0254	-0.4286	-0.1282	0.1414	-0.0116	0.1429	-0.012	0.234
"X10208"	0.0667	-0.3333	-0.2195	-0.375	0.0411	-0.3139	-0.1993	-0.0896	0.0656
"X1021"	-0.0175	NA	NA	NA	NA	NA	NA	-0.0526	NA
"X10211"	0	NA	NA	-0.0732	NA	NA	NA	-0.0526	NA
"X10217"	-0.0943	-0.2549	-0.3043	-0.375	-0.28	0.1593	-0.2258	-0.1168	0.1593
"X10223"	-0.0357	-0.0323	0	-0.05	-0.027	-0.0182	-0.0244	NA	0.6531
"X10224"	-0.0545	-0.0159	0	NA	0	0	-0.0204	-0.0256	NA
"X10225"	-0.0943	-0.046	-0.1111	-0.2	-0.0526	0.3407	-0.1429	-0.1875	-0.0769
"X10227"	0	-0.0492	-0.25	-0.1667	0.4684	NA	0	-0.1111	0
"X10228"	0.0122	-0.1407	-0.2397	-0.0312	0.1064	0.0411	0.3725	-0.0329	0.1845
"X10238"	-0.0175	-0.0159	0	NA	-0.0256	NA	NA	NA	-0.0968
"X10239"	-0.0357	-0.0877	-0.0345	-0.05	NA	-0.0182	-0.0222	0	0
"X10247"	0.275	0	-0.037	0	0.088	-0.122	0.4627	-0.1613	-0.0811
"X10248"	NA	NA	0	-0.0244	0	-0.0588	0	NA	0
"X10249"	-0.0545	-0.0159	0	NA	NA	NA	0	0	NA
"X10252"	NA	NA	NA	NA	-0.0256	NA	NA	NA	NA
"X10254"	-0.0247	-0.2126	0.0164	0.2326	-0.1351	0.0645	-0.1182	-0.5	0.0148
"X10255"	NA	NA	NA	NA	-0.027	NA	NA	NA	NA
"X10257"	0.0151	-0.1429	-0.0714	0.0552	0.2455	-0.0741	0.0291	-0.0256	-0.0857
"X1026"	0.0446	-0.3426	0.3519	0.2941	0.4767	0.1447	0.04	0.5922	0.447
"X10261"	NA	-0.0492	NA	NA	-0.0244	0	-0.0204	NA	0
"X1027"	-0.16	0.0545	-0.2174	0.0552	-0.0526	-0.1481	0.1273	-0.2727	0.131
"X10276"	-0.1837	-0.1163	-0.25	-0.1282	0.3407	0.4603	0.2	-0.0556	-0.0556
"X10279"	-0.0545	-0.0492	-0.0714	-0.1351	-0.0244	-0.0345	-0.087	-0.0256	-0.0811
"X10283"	-0.0175	-0.1228	0	-0.0526	-0.0256	-0.0877	-0.0952	-0.0526	-0.1176
"X10289"	0.0122	-0.3132	0.2574	-0.0732	-0.0244	0.1549	-0.1168	0.2455	0.5
"X10290"	NA	NA	0.6471	-0.0244	NA	NA	-0.0233	0	NA
"X10291"	-0.2609	-0.242	0.0323	-0.0532	-0.0411	-0.2917	-0.1163	0.1064	0.6262
"X10296"	-0.0545	-0.0492	-0.0345	NA	-0.1053	-0.0169	-0.0435	-0.0256	0
"X10297"	-0.0821	-0.5118	-0.3636	-0.1984	-0.0628	0.0549	-0.1163	-0.0233	-0.2938
"X10299"	-0.3872	-0.4884	-0.1321	0.0584	0.1127	-0.2638	0.0909	0.0155	-0.0843
"X10300"	-0.1768	-0.1399	-0.5	0.1845	0.0455	-0.046	0.1694	-0.2903	-0.125
"X10303"	-0.0545	0.0725	0	NA	0	-0.1071	-0.0435	-0.05	-0.027
"X10306"	0	0	NA	0	-0.0256	NA	NA	NA	0
"X1031"	0	NA	0	NA	NA	0	NA	NA	NA
"X10312"	0.3968	-0.0455	0.451	-0.0588	-0.0256	0.275	-0.1111	-0.0811	-0.05
"X10319"	-0.0545	-0.0164	0.3182	0	0.6262	0.275	0.1892	-0.0256	-0.0556
"X10320"	NA	NA	0	-0.0244	NA	NA	NA	-0.0811	NA
"X10321"	-0.2151	-0.1724	-0.3636	-0.0476	-0.2353	0.2542	-0.0794	0.0977	-0.2294
"X10324"	NA	-0.0323	NA	-0.0476	NA	NA	NA	-0.1515	NA
"X10330"	-0.0357	0	-0.0345	NA	NA	-0.0385	-0.0417	0	1
"X10332"	0	NA	NA	NA	NA	0	0	-0.0526	0
"X10338"	-0.0175	NA	NA	-0.0233	0	0	NA	-0.0769	NA
"X10344"	0.0151	-0.275	-0.1818	-0.0857	-0.0588	-0.0827	-0.3333	-0.0968	-0.0588
