Locus,Scaffold,Start_bp,MQ,
3,LG21,18027658,42,
6,LG10,5565406,42,
11,LG10,22879170,23,
13,LG07,11128404,42,
16,LG21,7743662,23,
18,LG04,17492793,42,
30,LG01,20830138,42,
44,LG07,18811356,24,
52,LG11,26240756,40,
56,LG15,15960293,42,
59,LG13,23171791,24,
66,LG01,25118415,42,
67,LG09,6068168,42,
69,LG22,10010386,40,
74,LG14,16964598,42,
80,LG02,10060920,42,
84,LG04,5514554,40,
85,LG19,15936094,24,
91,LG21,16435607,24,
94,LG13,16843814,42,
95,LG11,22131342,42,
96,LG12,20292473,40,
97,LG02,17061469,23,
98,LG03,20685709,24,
101,LG12,5077660,40,
110,LG14,1603748,42,
114,LG16,670232,40,
115,LG11,14868781,42,
116,LG18,2871014,42,
123,LG01,26277223,42,
144,LG14,23216908,40,
146,LG11,6256665,42,
148,LG10,6644267,42,
159,LG04,20273388,42,
164,LG13,14587340,42,
179,LG12,25008487,42,
181,LG03,25718099,42,
195,LG01,20020010,23,
197,LG03,19138655,40,
211,LG04,1318919,42,
218,LG17,14007228,42,
230,LG15,22676655,40,
233,LG23,4696346,40,
235,LG22,16807954,24,
236,LG02,17086725,23,
243,LG01,13663693,40,
246,LG08,13184404,42,
253,LG16,22770890,40,
258,LG11,27501808,40,
262,LG22,538632,42,
275,LG20,11090997,40,
276,LG18,6244227,40,
279,LG03,3441051,40,
281,LG14,21953780,40,
286,LG05,20858527,42,
287,LG20,17936447,40,
298,LG17,2334855,40,
323,LG19,3010525,26,YT:Z:UU
331,LG11,9164373,24,
335,LG22,17138851,24,
336,LG04,5022426,42,
348,LG04,17015227,42,
349,LG13,13517909,42,
359,LG23,2830749,24,
360,LG09,18491273,40,
369,LG14,9808221,42,
372,LG16,21523825,42,
373,LG23,8351293,42,
385,LG13,423107,42,
401,LG17,11891202,23,
402,LG13,3528347,24,
406,LG20,5151163,42,
415,LG21,14841063,42,
418,LG08,23101938,24,
421,LG03,27467841,40,
444,LG21,9638517,42,
453,LG10,23241108,40,
460,LG07,25394264,24,
469,LG19,3245737,40,
470,LG14,1523992,40,
475,LG11,27114764,42,
476,LG01,4713084,24,
482,LG21,7183754,40,
488,LG11,7506070,23,
494,LG20,1413350,40,
504,LG22,19123984,42,
506,LG14,2897461,42,
512,LG10,16366978,42,
513,LG05,20110006,40,
