"","locus","he","fst","meanAlleleFreq","qvals","pv","outlier"
"1",10313,0.0309520984138285,0.0820790656169235,0.984276729559748,0.00896955746806612,3.89303709551481e-05,1
"2",10452,0.0228540880082864,0.0832530131485956,0.988439306358382,0.0189430430400666,0.000106883489375376,1
"3",12249,0.0176977040816326,0.113713066189786,0.991071428571429,0.000813306848044704,2.11798658344975e-06,1
"4",12252,0.0612201083366364,0.0732117701421338,0.0316091954022989,0.028263328879735,0.000394115894412517,1
"5",12798,0.0119043350424899,0.0698287520819491,0.00598802395209581,0.028263328879735,0.00052172116671767,1
"6",13213,0.0114281939490026,0.0708166920335421,0.994252873563218,0.028263328879735,0.000500110487925198,1
"7",14223,0.0459515570934257,0.0596689071033261,0.976470588235294,0.0317812902062428,0.00062072832434068,1
"8",14612,0.0283227639054036,0.0670082287813358,0.985632183908046,0.0398138907700639,0.000812175723174047,1
"9",14716,0.0120477502295684,0.0871973320516884,0.00606060606060606,0.0112083793973454,5.83769760278408e-05,1
"10",15567,0.0118339002267573,0.0698620063420364,0.994047619047619,0.028263328879735,0.000527484002529777,1
"11",16452,0.0112990702479341,0.0711457769744486,0.00568181818181818,0.028263328879735,0.000489833789574456,1
"12",16899,0.0392000000000001,0.0933764273880139,0.98,0.00896955746806612,3.13359187311679e-05,1
"13",17314,0.0115603028664144,0.0705666309143975,0.994186046511628,0.028263328879735,0.000504185102022658,1
"14",17678,0.0113632653061224,0.0710222770078734,0.00571428571428571,0.028263328879735,0.000491921058683786,1
"15",18240,0.0112990702479341,0.0711457769744475,0.994318181818182,0.028263328879735,0.000489833789574678,1
"16",19478,0.0114281939490026,0.0709176364983838,0.00574712643678161,0.028263328879735,0.000492522329953449,1
"17",19920,0.0121946629530656,0.0691341472196917,0.993865030674847,0.028429069569428,0.000542916259138382,1
"18",20387,0.0114938688228809,0.0525828002111036,0.00578034682080925,0.028263328879735,0.00050495905572534,1
"19",20507,0.0113632653061224,0.0709801804432546,0.994285714285714,0.028263328879735,0.000495063804195395,1
"20",22166,0.0300230517549078,0.0637659372121596,0.0152439024390244,0.0493306990980966,0.00107054468528855,1
"21",22174,0.0112990702479341,0.0533686012136291,0.994318181818182,0.028263328879735,0.000489833789574678,1
"22",22785,0.0446693877551021,0.080691026541906,0.0228571428571429,0.019550331411306,0.000154833434429902,1
"23",22812,0.0169959183673469,0.114874309765264,0.00857142857142857,0.000813306848044704,1.95944042480356e-06,1
"24",2744,0.0574209586499073,0.0739684542287874,0.970414201183432,0.0232015089730697,0.000211472086994124,1
"25",2848,0.0235260770975056,0.0709102966942288,0.0119047619047619,0.019550331411306,0.000147793183206568,1
"26",2912,0.0389817923553719,0.0549099942311541,0.980113636363636,0.0489667948517406,0.00104139450856566,1
"27",3560,0.0171906846202678,0.11436332005334,0.00867052023121387,0.000813306848044704,4.35333943116234e-07,1
"28",3583,0.0170927467300832,0.102791276610711,0.991379310344828,0.000813306848044704,1.98211071045229e-06,1
"29",3699,0.060546875,0.0859581640853439,0.03125,0.0112083793973454,5.45523584558616e-05,1
"30",3800,0.0294919143748431,0.0654912158280508,0.0149700598802395,0.0435646916728345,0.000907597743184052,1
"31",3840,0.0113632653061224,0.0710644235349581,0.994285714285714,0.028263328879735,0.000488794362598632,1
"32",3884,0.0169959183673469,0.114874309765265,0.991428571428571,0.000813306848044704,1.95944042480356e-06,1
"33",3983,0.0227242700488837,0.0811140620919864,0.988505747126437,0.019550331411306,0.000141481401281895,1
"34",4326,0.137957640523128,0.0622698695777962,0.0745341614906832,0.0376260833226811,0.00075121520522714,1
"35",4403,0.0171906846202678,0.114581170678258,0.991329479768786,0.000813306848044704,1.99369718512088e-06,1
"36",4764,0.0235260770975056,0.0524571607301111,0.988095238095238,0.028263328879735,0.000451950825719249,1
"37",4885,0.0114938688228809,0.0707465016137614,0.994219653179191,0.028263328879735,0.000498030189893361,1
"38",4973,0.107907533749456,0.0679054304889424,0.942771084337349,0.028263328879735,0.000441614566076609,1
"39",5023,0.118504137030048,0.0661603364227936,0.0632530120481928,0.028263328879735,0.000459300542704266,1
"40",5272,0.155927169421488,0.0782734167976917,0.0852272727272727,0.0232015089730697,0.000209785616671176,1
"41",5324,0.022595918367347,0.0812260476366737,0.0114285714285714,0.019550331411306,0.000141201572436023,1
"42",5782,0.0116275093191069,0.070520000012737,0.994152046783626,0.028263328879735,0.000500098798030146,1
"43",6170,0.060546875,0.0861300707096054,0.03125,0.00896955746806612,3.52135020862399e-05,1
"44",6255,0.0114281939490026,0.0529051987767575,0.994252873563218,0.028263328879735,0.000494112099078237,1
"45",6537,0.0239485766758494,0.0792982082937149,0.0121212121212121,0.019550331411306,0.000161222351048096,1
"46",6578,0.022595918367347,0.0722568545979073,0.988571428571429,0.019550331411306,0.000141201572436023,1
"47",6611,0.0238060676440703,0.0751999297284779,0.0120481927710843,0.028263328879735,0.00027082989856031,1
"48",6762,0.0113632653061224,0.0710644235349581,0.994285714285714,0.028263328879735,0.000488794362598632,1
"49",6972,0.0114281939490026,0.0708804129687288,0.00574712643678161,0.028263328879735,0.000495307129105838,1
"50",9626,0.0336979591836735,0.102779577580983,0.0171428571428571,0.00309695706691368,9.40915775538009e-06,1
