locus,he,fst,meanAlleleFreq,qvals,pv,outlier
10203,0.466027268030817,0.164142553212722,0.369668246445498,0.0201446615904025,0.000225369642421924,1
11506,0.0512465373961217,0.168368097153663,0.973684210526316,0.0201446615904025,0.000212506026243453,1
12640,0.105439459919091,0.154623382519672,0.944162436548223,0.0220815534185515,0.000296465300526849,1
14223,0.136245674740484,0.151028752800497,0.926470588235294,0.0289004584684818,0.00044153478215736,1
14316,0.281183431952663,0.204906655258252,0.830769230769231,0.00525161568408095,1.45878213446693e-05,1
14546,0.330091417533299,0.290077011698665,0.208530805687204,0.000179877968840003,8.32768374259274e-08,1
14635,0.130867659534358,0.16730968846542,0.929611650485437,0.0201446615904025,0.00021664315416281,1
15519,0.0992743764172337,0.146617320244093,0.947619047619048,0.0494428906458663,0.00080115795028024,1
16306,0.0375449280007325,0.160412991417703,0.980861244019139,0.0208262914247429,0.000250686841223757,1
16557,0.192735031943638,0.174897684200579,0.891959798994975,0.0142661173390468,0.000105674943252199,1
17472,0.15491124260355,0.147725959769997,0.0846153846153846,0.0286986641795662,0.000411878976651181,1
18636,0.460906089261248,0.153827514642545,0.639810426540284,0.0289004584684818,0.000441444733198848,1
19147,0.122478555943067,0.178427066879539,0.934466019417476,0.0142661173390468,0.000100285310290271,1
19221,0.403115771159085,0.243397646561067,0.720095693779904,0.00166919995010062,1.5960816610594e-06,1
19944,0.469963475586313,0.202733050199062,0.377450980392157,0.0061632525170241,2.19125991953728e-05,1
2045,0.116145124716553,0.16534987441921,0.0619047619047619,0.0201446615904025,0.000200257953542504,1
2098,0.123353506585974,0.19900965366577,0.933962264150943,0.0061632525170241,2.28268611741633e-05,1
22644,0.17495408568844,0.184707290072771,0.0968586387434555,0.0103175573649494,5.61261515945599e-05,1
22902,0.395510204081633,0.181044926186348,0.728571428571429,0.0133326752760705,8.02429530504245e-05,1
22975,0.095,0.181565690780961,0.95,0.0136571409234192,8.85185059851246e-05,1
23543,0.103992582587395,0.196679339996411,0.0550239234449761,0.00863457089476328,3.59773787281803e-05,1
23919,0.109718163823169,0.161989889850186,0.941747572815534,0.0201446615904025,0.000233155805444474,1
24117,0.293817281814687,0.18929642344467,0.178921568627451,0.0103175573649494,4.78422082013097e-05,1
24927,0.442016070124178,0.142579968882388,0.32972972972973,0.0354211687161462,0.000557555433494894,1
2606,0.13672335600907,0.218533876014088,0.926190476190476,0.00339494948022789,7.85867935237938e-06,1
2694,0.309516723518235,0.168029580195784,0.191387559808612,0.0201446615904025,0.00018595499530627,1
2705,0.187573696145125,0.163596749312396,0.895238095238095,0.0201446615904025,0.00022046571964518,1
3313,0.421538425634204,0.186727174228218,0.698067632850242,0.0103175573649494,5.7319763138608e-05,1
3330,0.0650425295857988,0.157612453412454,0.966346153846154,0.0220815534185515,0.000286309235918436,1
3405,0.112616644965278,0.228198690242525,0.940104166666667,0.00210989441366216,3.90721187715215e-06,1
3699,0.176179138321995,0.237066073468446,0.0976190476190476,0.00166919995010062,2.31833326402864e-06,1
6578,0.0859931268390197,0.175432944315274,0.954976303317536,0.0160252115704515,0.000126124350322998,1
74,0.497473102580805,0.157557642008658,0.535545023696682,0.0235667124687193,0.000327315450954435,1
8417,0.133914337336593,0.161762698341874,0.927835051546392,0.0208633740338193,0.000260792175422742,1
9203,0.406998944318412,0.165775105684331,0.71563981042654,0.0201446615904025,0.000189963605587318,1
