locus,prob,log10(PO),qval,alpha,fst,log10q,q,outlier
10203,0.99995,4.301,2.50E-05,1.629,0.089155,-4.60204262,2.5001E-05,TRUE
14546,0.9999,3.9999,5.00E-05,1.7808,0.10138,-4.301003939,5.0003E-05,TRUE
16976,0.82909,0.68584,0.037414,1.282,0.072477,-1.426965858,0.037414,TRUE
18636,0.83869,0.71595,0.025279,1.2662,0.070972,-1.59724011,0.025279,TRUE
1904,0.97195,1.5397,0.0054558,1.4516,0.077962,-2.263141559,0.0054558,TRUE
19221,1,1000,0,2.0188,0.12148,#NAME?,#NAME?,TRUE
19944,0.99955,3.3466,0.00015001,1.72,0.096413,-3.823879789,0.00015001,TRUE
2694,0.99985,3.8238,7.50E-05,1.7936,0.10277,-4.124915575,7.5004E-05,TRUE
3179,0.9963,2.4302,0.0008429,1.6167,0.088682,-3.074223946,0.0008429,TRUE
5400,0.93235,1.1393,0.011676,1.3815,0.074816,-1.932705914,0.011676,TRUE
74,0.98485,1.8129,0.0026314,1.562,0.085299,-2.57981313,0.0026314,TRUE
8290,0.99855,2.838,0.00036669,1.6547,0.091479,-3.435700934,0.00036669,TRUE
