locus,he,fst,meanAlleleFreq,qvals,pv,outlier
10313,0.0385950771901542,0.0944212689521415,0.980314960629921,0.0148167457065564,4.5480658283914e-05,1
10315,0.134876033057851,0.0872086573626212,0.927272727272727,0.0227455320392846,0.0002017126580518,1
12249,0.0148139897527289,0.0890983864176809,0.992537313432836,0.0227455320392846,0.000203969893090017,1
12252,0.0739644970414202,0.0856566116756058,0.0384615384615385,0.034364976172564,0.000342825661577617,1
12798,0.0149245293685343,0.0888578142382221,0.0075187969924812,0.0227455320392846,0.000206686024257996,1
14422,0.0137924382716048,0.0912595919298209,0.00694444444444444,0.0227455320392846,0.000181904505791364,1
16452,0.0137924382716048,0.0912595919298209,0.00694444444444444,0.0227455320392846,0.000181904505791364,1
17678,0.0138882096924056,0.091130928612627,0.00699300699300699,0.0227455320392846,0.000182200602084182,1
19920,0.0151506322475381,0.0884758658234949,0.99236641221374,0.0227455320392846,0.000209455259066793,1
20387,0.01408379860168,0.0721217203785791,0.00709219858156028,0.0227455320392846,0.00018756803597042,1
22067,0.417664356227683,0.0881623584124475,0.702898550724638,0.0227455320392846,0.000191677886781871,1
22174,0.0137924382716048,0.0731071245986207,0.993055555555556,0.0227455320392846,0.000181904505791142,1
22812,0.0206163194444444,0.144767355519141,0.0104166666666667,0.000275706571340501,6.27113216467023e-07,1
22975,0.0139853203729419,0.0908930414476833,0.992957746478873,0.0227455320392846,0.000184930280887174,1
23949,0.1033935546875,0.0923136080814575,0.0546875,0.0227455320392846,0.000108955822979429,1
24927,0.475510615425961,0.166621699466067,0.389344262295082,3.92632497764334e-05,1.50650358854421e-08,1
2848,0.0289792387543251,0.0913861692331242,0.0147058823529412,0.0158680059045913,6.088443512553e-05,1
3560,0.0210502489814395,0.149333817342763,0.0106382978723404,0.000129020984344225,9.90089088492851e-08,1
3583,0.0209035905574291,0.132281792723231,0.98943661971831,0.000275706571340501,6.3627385249454e-07,1
3884,0.020758961318402,0.144490999833963,0.989510489510489,0.000275706571340501,6.40372518567744e-07,1
3983,0.0137924382716048,0.0912595919298214,0.993055555555556,0.0227455320392846,0.000181904505791142,1
4403,0.0211989795918366,0.143802664492133,0.989285714285714,0.000275706571340501,6.6979417989721e-07,1
4482,0.0739644970414202,0.0824317484754367,0.0384615384615385,0.0461275683898071,0.000477868334398002,1
5324,0.0277722674072605,0.102736630423718,0.0140845070422535,0.015765035123592,5.4440409059886e-05,1
6170,0.0670331790123457,0.0800526044670888,0.0347222222222222,0.02950156830604,0.000282988664806139,1
6255,0.0138882096924056,0.0727543724818932,0.993006993006993,0.0227455320392846,0.000184549233915643,1
6537,0.02230199559048,0.142177841370224,0.0112781954887218,0.000275706571340501,7.40506858276646e-07,1
