locus,he,fst,meanAlleleFreq,qvals,pv,outlier
10313,0.0411341006991033,0.0915562261190488,0.978991596638655,0.0219574198650003,9.14903714706039e-05,1
10315,0.138352694558477,0.0847267682444391,0.925233644859813,0.0274471291209964,0.000408258805015826,1
12249,0.0157470395565633,0.0878432088969386,0.992063492063492,0.0247398755326641,0.000345743802196985,1
12252,0.0291906721536352,0.100468751983655,0.0148148148148148,0.0219574198650003,0.000112248672349491,1
12798,0.0159989594172736,0.087425998210818,0.00806451612903226,0.0247398755326641,0.000350141709913654,1
14223,0.0153836908839613,0.0885297255198853,0.992248062015504,0.0247398755326641,0.000336056127191675,1
14228,0.266192690311419,0.0956467060247513,0.158088235294118,0.0247398755326641,0.000167323734187264,1
14612,0.0147050754458162,0.0900228619052756,0.992592592592593,0.0247398755326641,0.000310811406825318,1
16452,0.0144919814587885,0.0905116744101513,0.0072992700729927,0.0247398755326641,0.000302580730298097,1
16899,0.0145977508650519,0.0902420467452237,0.992647058823529,0.0247398755326641,0.000307611417387221,1
17678,0.0145977508650519,0.0904372585049332,0.00735294117647059,0.0247398755326641,0.000300640476694536,1
18616,0.0147050754458162,0.0900576702392815,0.00740740740740741,0.0247398755326641,0.000309542126147866,1
19147,0.0151506322475381,0.0890318022759525,0.99236641221374,0.0247398755326641,0.000327573334406583,1
19920,0.0161279661577105,0.0870795563623726,0.991869918699187,0.0247398755326641,0.00035804442981946,1
20387,0.0148139897527289,0.0701743840456297,0.00746268656716418,0.0247398755326641,0.000313773807486761,1
22174,0.0144919814587885,0.0712988773239907,0.992700729927007,0.0247398755326641,0.000302580730298097,1
22785,0.0501459775086506,0.104959631817987,0.0257352941176471,0.0205808382290192,7.44633342959489e-05,1
22812,0.021658053172785,0.144173872958628,0.0109489051094891,0.00061020191978892,1.4104821390859e-06,1
23273,0.0162590701424348,0.0770700636942675,0.00819672131147541,0.0219574198650003,0.000113597909736862,1
23949,0.109008947476265,0.088070164696571,0.0578512396694215,0.0247398755326641,0.000256803929383986,1
2848,0.03076171875,0.0891097721934967,0.015625,0.0219574198650003,0.000114752345023117,1
2912,0.0144919814587885,0.0905116744101515,0.992700729927007,0.0247398755326641,0.000302580730298097,1
3560,0.0221374470928937,0.1480472612475,0.0111940298507463,0.000610022506236652,2.45235178386594e-07,1
3583,0.0218155276816607,0.131165333562204,0.988970588235294,0.00061020191978892,1.43058460166934e-06,1
3699,0.0434567901234568,0.118454971848664,0.0222222222222222,0.003065161242485,9.85780500095679e-06,1
3800,0.0159989594172736,0.0872929189452488,0.00806451612903226,0.0247398755326641,0.000355749006359929,1
3884,0.0218155276816607,0.143850022270417,0.988970588235294,0.00061020191978892,1.44461991657963e-06,1
3983,0.0147050754458162,0.0903721607877777,0.992592592592593,0.0247398755326641,0.000298305274958111,1
4326,0.157550535077289,0.0808900483251346,0.0862068965517241,0.0247398755326641,0.000332426304232136,1
4403,0.0224690082644627,0.142973385743973,0.988636363636364,0.00061020191978892,1.51281506544088e-06,1
5324,0.0219753086419752,0.143533323322487,0.0111111111111111,0.00061020191978892,1.47811349382465e-06,1
6255,0.0147050754458162,0.070647159615131,0.992592592592593,0.0247398755326641,0.000305759293395047,1
6537,0.023712,0.140961534246041,0.012,0.00061020191978892,1.7171511310643e-06,1
6648,0.0144919814587885,0.0905116744101513,0.0072992700729927,0.0247398755326641,0.000302580730298097,1
8426,0.0145977508650519,0.0902420467452232,0.00735294117647059,0.0247398755326641,0.000307611417387221,1
8446,0.0150367309458219,0.0896401387624656,0.00757575757575758,0.0247398755326641,0.000309940610752291,1
9626,0.0148139897527289,0.0899384038885164,0.00746268656716418,0.0247398755326641,0.00030903195929799,1
